Entity,Date,confirmedcases,Death,recovered,Deathrate,RecoveryRate
Antigua and Barbuda,24-Mar-20,1,0,0,0,0
Antigua and Barbuda,25-Mar-20,3,0,0,0,0
Antigua and Barbuda,26-Mar-20,3,0,0,0,0
Antigua and Barbuda,27-Mar-20,7,0,0,0,0
Antigua and Barbuda,28-Mar-20,7,0,0,0,0
Antigua and Barbuda,29-Mar-20,7,0,0,0,0
Antigua and Barbuda,30-Mar-20,7,0,0,0,0
Antigua and Barbuda,31-Mar-20,7,0,0,0,0
Antigua and Barbuda,01-Apr-20,7,0,0,0,0
Antigua and Barbuda,02-Apr-20,7,0,0,0,0
Antigua and Barbuda,03-Apr-20,9,0,0,0,0
Antigua and Barbuda,04-Apr-20,15,0,0,0,0
Antigua and Barbuda,05-Apr-20,15,0,0,0,0
Antigua and Barbuda,06-Apr-20,15,0,0,0,0
Antigua and Barbuda,07-Apr-20,15,1,0,6.666666667,0
Antigua and Barbuda,08-Apr-20,15,2,0,13.33333333,0
Antigua and Barbuda,09-Apr-20,15,2,0,13.33333333,0
Antigua and Barbuda,10-Apr-20,19,2,0,10.52631579,0
Antigua and Barbuda,11-Apr-20,21,2,3,9.523809524,14.28571429
Antigua and Barbuda,12-Apr-20,21,2,3,9.523809524,14.28571429
Antigua and Barbuda,13-Apr-20,21,2,3,9.523809524,14.28571429
Antigua and Barbuda,14-Apr-20,23,2,3,8.695652174,13.04347826
Antigua and Barbuda,15-Apr-20,23,2,3,8.695652174,13.04347826
Antigua and Barbuda,16-Apr-20,23,3,3,13.04347826,13.04347826
Antigua and Barbuda,17-Apr-20,23,3,3,13.04347826,13.04347826
Argentina,04-Mar-20,1,0,0,0,0
Argentina,05-Mar-20,1,0,0,0,0
Argentina,06-Mar-20,2,0,0,0,0
Argentina,07-Mar-20,8,0,0,0,0
Argentina,08-Mar-20,9,1,0,11.11111111,0
Argentina,09-Mar-20,12,1,1,8.333333333,8.333333333
Argentina,11-Mar-20,19,1,1,5.263157895,5.263157895
Argentina,13-Mar-20,31,1,1,3.225806452,3.225806452
Argentina,14-Mar-20,34,1,3,2.941176471,8.823529412
Argentina,15-Mar-20,45,2,3,4.444444444,6.666666667
Argentina,16-Mar-20,56,2,3,3.571428571,5.357142857
Argentina,17-Mar-20,65,2,3,3.076923077,4.615384615
Argentina,18-Mar-20,79,2,3,2.53164557,3.797468354
Argentina,19-Mar-20,97,2,3,2.06185567,3.092783505
Argentina,20-Mar-20,128,2,3,1.5625,2.34375
Argentina,21-Mar-20,158,3,52,1.898734177,32.91139241
Argentina,22-Mar-20,225,3,52,1.333333333,23.11111111
Argentina,23-Mar-20,266,4,63,1.503759398,23.68421053
Argentina,24-Mar-20,301,4,72,1.328903654,23.92026578
Argentina,25-Mar-20,387,4,72,1.033591731,18.60465116
Argentina,26-Mar-20,502,6,72,1.195219124,14.34262948
Argentina,27-Mar-20,589,8,228,1.358234295,38.70967742
Argentina,28-Mar-20,690,9,240,1.304347826,34.7826087
Argentina,29-Mar-20,745,13,248,1.744966443,33.2885906
Argentina,30-Mar-20,820,18,256,2.195121951,31.2195122
Argentina,31-Mar-20,966,19,266,1.966873706,27.53623188
Argentina,01-Apr-20,966,23,279,2.380952381,28.88198758
Argentina,02-Apr-20,1133,27,280,2.383053839,24.71315093
Argentina,03-Apr-20,1133,28,325,2.471315093,28.68490733
Argentina,04-Apr-20,1265,36,338,2.845849802,26.71936759
Argentina,05-Apr-20,1451,39,358,2.687801516,24.67263956
Argentina,06-Apr-20,1554,43,365,2.767052767,23.48777349
Argentina,07-Apr-20,1628,44,375,2.702702703,23.03439803
Argentina,08-Apr-20,1715,48,440,2.798833819,25.65597668
Argentina,09-Apr-20,1795,56,468,3.119777159,26.0724234
Argentina,10-Apr-20,1894,63,515,3.326293559,27.19112988
Argentina,11-Apr-20,1975,72,559,3.64556962,28.30379747
Argentina,12-Apr-20,2137,82,596,3.83715489,27.88956481
Argentina,13-Apr-20,2203,83,631,3.76758965,28.64275987
Argentina,14-Apr-20,2272,90,666,3.961267606,29.31338028
Argentina,15-Apr-20,2432,105,685,4.317434211,28.16611842
Argentina,16-Apr-20,2432,112,709,4.605263158,29.15296053
Argentina,17-Apr-20,2560,123,737,4.8046875,28.7890625
Armenia,22-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,23-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,24-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,25-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,26-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,27-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,28-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,29-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,30-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,31-Jan-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,01-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,02-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,03-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,04-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,05-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,06-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,07-Feb-20,0,0,0,#DIV/0!,#DIV/0!
